ID,date,meals_served,kitchen_staff,temperature_C,humidity_percent,day_of_week,special_event,past_waste_kg,staff_experience,waste_category,food_waste_kg
409,11/28/2023,351,5,25.9 °C,80.39%,Tuesday,0,33.5 kg,Intermediate,Vegetables,38.23
205,11/26/2023,391,13,16.5 °C,88.46%,Sunday,0,39.6 kg,Intermediate,Grains,47.67
634,11/25/2023,231,14,32.0 °C,82.64%,Saturday,0,26.5 kg,Unknown,Meat,46.32
157,11/24/2023,400,5,17.9 °C,84.13%,Friday,0,26.5 kg,Expert,Vegetables,39.9
820,11/23/2023,316,17,26.8 °C,80.84%,Thursday,0,32.9 kg,Beginner,Dairy,45.7
886,11/22/2023,426,5,34.8 °C,54.94%,Wednesday,0,27.9 kg,Intermediate,Meat,48.94
1,11/21/2023,244,15,10.3 °C,64.43%,Tuesday,0,42.3 kg,Unknown,Meat,51.55
354,11/20/2023,441,15,22.4 °C,53.18%,Monday,1,27.7 kg,Beginner,Meat,56.19
698,11/19/2023,420,16,26.9 °C,89.55%,Sunday,0,36.8 kg,Expert,Dairy,51.13
1024,11/18/2023,464,9,33.2 °C,67.32%,Saturday,0,10.2 kg,Beginner,Dairy,44.96
522,11/16/2023,438,16,14.1 °C,56.66%,Thursday,0,36.5 kg,Unknown,Grains,49.54
908,11/15/2023,264,6,19.7 °C,33.46%,Wednesday,0,38.1 kg,Unknown,Grains,40.79
489,11/14/2023,128,10,23.8 °C,31.96%,Tuesday,1,48.6 kg,Expert,Vegetables,60.93
862,11/13/2023,104,18,19.4 °C,35.44%,Monday,0,16.7 kg,Intermediate,Meat,25.77
710,11/12/2023,293,7,12.4 °C,68.13%,Sunday,0,14.5 kg,Unknown,Meat,21.32
435,11/11/2023,221,16,25.0 °C,58.89%,Saturday,0,47.8 kg,Intermediate,Meat,44.93
553,11/10/2023,382,16,12.8 °C,60.76%,Friday,0,13.4 kg,Unknown,Meat,38.33
42,11/9/2023,492,9,11.1 °C,59.68%,Thursday,0,14.9 kg,Intermediate,Grains,45.21
831,11/8/2023,269,6,13.9 °C,87.29%,Wednesday,0,40.7 kg,Beginner,Grains,34.84
11,11/7/2023,267,7,25.4 °C,89.41%,Tuesday,0,23.1 kg,Expert,Grains,33.23
929,11/6/2023,240,7,23.0 °C,39.23%,Monday,0,10.3 kg,Intermediate,Dairy,19.96
252,11/5/2023,273,11,33.0 °C,84.08%,Sunday,0,34.9 kg,Expert,Meat,50.76
824,11/3/2023,329,14,12.9 °C,83.68%,Friday,0,34.5 kg,Beginner,Vegetables,53.22
66,11/2/2023,352,12,21.9 °C,54.17%,Thursday,0,42.3 kg,Intermediate,Vegetables,52.87
693,11/1/2023,173,15,13.1 °C,44.75%,Wednesday,0,25.1 kg,Expert,Dairy,40
336,10/31/2023,108,17,18.1 °C,45.23%,Tuesday,1,13.7 kg,Expert,Vegetables,26.88
481,10/30/2023,175,13,32.4 °C,78.50%,Monday,0,36.5 kg,Unknown,Meat,249.17
221,10/29/2023,338,5,22.0 °C,60.88%,Sunday,0,31.7 kg,Intermediate,Meat,35.14
826,10/26/2023,334,13,16.5 °C,32.76%,Thursday,0,47.9 kg,Intermediate,Dairy,44.28
182,10/25/2023,320,13,16.4 °C,78.29%,Wednesday,0,44.5 kg,Unknown,Dairy,47.18
549,10/24/2023,314,9,10.3 °C,63.12%,Tuesday,0,27.7 kg,Beginner,Vegetables,46.05
536,10/23/2023,262,6,26.7 °C,52.62%,Monday,0,32.3 kg,Intermediate,Vegetables,38.91
767,10/22/2023,232,14,34.4 °C,77.07%,Sunday,0,49.1 kg,Intermediate,Grains,44.35
734,10/21/2023,221,13,15.7 °C,80.12%,Saturday,0,41.1 kg,Beginner,Grains,45.11
518,10/20/2023,322,6,29.6 °C,66.18%,Friday,0,5.7 kg,Intermediate,Meat,18.62
114,10/19/2023,497,15,32.5 °C,81.31%,Thursday,0,27.6 kg,Beginner,Meat,56.47
393,10/18/2023,285,17,22.9 °C,75.81%,Wednesday,0,42.6 kg,Beginner,Meat,52.26
874,10/17/2023,141,15,12.1 °C,87.61%,Tuesday,0,10.2 kg,Beginner,Grains,21.89
43,10/16/2023,280,18,20.6 °C,76.88%,Monday,1,14.6 kg,Beginner,Grains,53.6
332,10/15/2023,208,5,11.7 °C,57.49%,Sunday,0,26.7 kg,Beginner,Grains,140.09
741,10/14/2023,138,15,30.8 °C,43.92%,Saturday,0,24.8 kg,Unknown,Meat,28.31
19,10/13/2023,156,8,23.7 °C,48.60%,Friday,0,11.3 kg,Expert,Dairy,127.44
833,10/11/2023,250,7,18.9 °C,81.25%,Wednesday,0,26.4 kg,Beginner,Meat,33.89
1013,10/9/2023,478,19,33.6 °C,88.02%,Monday,0,10.3 kg,Intermediate,Vegetables,44.82
859,10/8/2023,124,8,34.3 °C,87.17%,Sunday,0,43.9 kg,Intermediate,Dairy,43.86
290,10/7/2023,495,14,34.8 °C,53.71%,Saturday,0,6.9 kg,Intermediate,Grains,32.73
592,10/6/2023,198,5,21.6 °C,71.90%,Friday,0,39.2 kg,Expert,Meat,37.9
901,10/5/2023,168,12,19.7 °C,51.30%,Thursday,0,5.9 kg,Expert,Dairy,25.43
803,10/4/2023,472,9,22.7 °C,73.93%,Wednesday,0,19.7 kg,Expert,Grains,40.69
755,10/3/2023,243,10,10.9 °C,79.76%,Tuesday,0,17.8 kg,Expert,Grains,20.84
851,10/2/2023,466,10,12.6 °C,30.85%,Monday,0,37.3 kg,Expert,Dairy,46.15
643,10/1/2023,438,12,30.1 °C,30.78%,Sunday,0,46.2 kg,Intermediate,Dairy,50.02
796,9/30/2023,151,19,26.5 °C,42.84%,Saturday,0,43.0 kg,Unknown,Vegetables,51.29
70,9/29/2023,483,11,28.7 °C,40.57%,Friday,0,35.3 kg,Expert,Dairy,56.61
324,9/27/2023,305,10,11.2 °C,57.54%,Wednesday,0,49.7 kg,Intermediate,Meat,49.18
361,9/26/2023,383,7,21.1 °C,43.15%,Tuesday,0,36.9 kg,Unknown,Meat,53.72
841,9/25/2023,364,12,34.7 °C,61.35%,Monday,0,20.3 kg,Intermediate,Meat,48.05
272,9/24/2023,175,11,12.6 °C,87.18%,Sunday,0,42.8 kg,Intermediate,Dairy,41.76
250,9/23/2023,332,15,32.1 °C,54.40%,Saturday,0,29.2 kg,Unknown,Meat,34.68
180,9/22/2023,495,5,21.3 °C,59.89%,Friday,0,38.2 kg,Unknown,Dairy,50.39
840,9/20/2023,276,15,15.7 °C,36.53%,Wednesday,0,49.0 kg,Beginner,Grains,51.83
214,9/19/2023,118,12,21.3 °C,69.55%,Tuesday,0,24.7 kg,Unknown,Dairy,22.85
645,9/18/2023,286,15,21.8 °C,53.51%,Monday,0,21.4 kg,Expert,Dairy,34.98
808,9/17/2023,496,9,22.4 °C,61.63%,Sunday,0,15.1 kg,Unknown,Meat,41.85
746,9/16/2023,441,17,30.6 °C,89.70%,Saturday,0,7.8 kg,Intermediate,Dairy,41.61
208,9/15/2023,316,14,29.5 °C,38.22%,Friday,1,24.3 kg,Intermediate,Meat,238.89
216,9/14/2023,467,7,16.3 °C,70.46%,Thursday,0,13.3 kg,Beginner,Grains,41.05
294,9/13/2023,183,8,33.3 °C,83.86%,Wednesday,0,29.2 kg,Intermediate,Grains,36.35
856,9/12/2023,161,9,17.0 °C,58.88%,Tuesday,0,11.2 kg,Expert,Grains,19.03
516,9/11/2023,468,7,11.9 °C,81.84%,Monday,0,47.8 kg,Beginner,Meat,66.99
16,9/10/2023,372,5,30.2 °C,63.65%,Sunday,0,49.6 kg,Intermediate,Grains,60.8
55,9/9/2023,385,15,33.6 °C,57.52%,Saturday,0,8.1 kg,Unknown,Meat,31.26
134,9/8/2023,460,10,26.5 °C,40.82%,Friday,0,45.7 kg,Intermediate,Dairy,52.14
122,9/7/2023,454,16,12.6 °C,62.81%,Thursday,0,5.8 kg,Beginner,Meat,28.61
502,9/6/2023,316,6,13.3 °C,75.65%,Wednesday,0,10.5 kg,Unknown,Meat,21.44
903,9/5/2023,378,18,33.9 °C,85.72%,Tuesday,0,47.9 kg,Beginner,Meat,64.83
364,9/4/2023,112,14,19.8 °C,67.25%,Monday,0,19.7 kg,Intermediate,Meat,17.81
774,9/1/2023,367,9,30.3 °C,51.26%,Friday,0,17.0 kg,Expert,Dairy,34.41
658,8/30/2023,323,5,16.1 °C,48.12%,Wednesday,0,22.9 kg,Intermediate,Vegetables,42.12
269,8/29/2023,289,17,31.6 °C,54.94%,Tuesday,1,44.9 kg,Intermediate,Dairy,51.96
529,8/28/2023,250,14,13.2 °C,32.67%,Monday,0,40.2 kg,Beginner,Dairy,51.61
63,8/27/2023,251,11,13.7 °C,43.82%,Sunday,0,17.6 kg,Beginner,Dairy,29.2
572,8/26/2023,195,9,16.7 °C,59.84%,Saturday,0,30.3 kg,Intermediate,Grains,38.31
181,8/25/2023,135,13,22.5 °C,85.84%,Friday,0,19.4 kg,Unknown,Meat,25.41
1007,8/24/2023,198,17,26.2 °C,71.41%,Thursday,0,41.4 kg,Expert,Dairy,37.58
260,8/23/2023,276,16,16.7 °C,71.40%,Wednesday,0,6.7 kg,Expert,Meat,25.76
58,8/22/2023,326,6,19.3 °C,33.64%,Tuesday,0,29.1 kg,Intermediate,Grains,40.21
411,8/20/2023,456,15,11.6 °C,73.50%,Sunday,0,35.2 kg,Unknown,Grains,49.08
567,8/19/2023,493,10,15.0 °C,50.24%,Saturday,0,39.8 kg,Intermediate,Vegetables,58.63
390,8/18/2023,263,19,25.7 °C,86.84%,Friday,0,44.5 kg,Beginner,Meat,56.43
174,8/17/2023,348,13,30.9 °C,78.59%,Thursday,0,41.7 kg,Unknown,Meat,50.08
931,8/16/2023,376,15,18.1 °C,68.57%,Wednesday,0,35.9 kg,Beginner,Meat,47.73
503,8/14/2023,475,10,14.7 °C,84.39%,Monday,0,25.4 kg,Beginner,Grains,48.81
517,8/13/2023,174,14,27.0 °C,61.64%,Sunday,0,8.7 kg,Intermediate,Dairy,21.43
282,8/12/2023,213,9,24.6 °C,88.90%,Saturday,0,33.1 kg,Intermediate,Vegetables,45.5
725,8/10/2023,295,16,20.5 °C,48.91%,Thursday,0,38.8 kg,Expert,Meat,48.28
161,8/9/2023,490,14,13.4 °C,80.83%,Wednesday,0,15.5 kg,Intermediate,Meat,40.94
358,8/8/2023,204,10,16.2 °C,83.76%,Tuesday,0,9.9 kg,Intermediate,Grains,25.79
173,8/7/2023,214,13,34.1 °C,67.18%,Monday,1,46.3 kg,Beginner,Vegetables,60.76
74,8/6/2023,189,9,19.7 °C,73.54%,Sunday,0,38.7 kg,Intermediate,Meat,41.62
261,8/5/2023,192,5,14.4 °C,42.30%,Saturday,0,15.6 kg,Expert,Meat,26.55
581,8/4/2023,363,6,22.0 °C,76.62%,Friday,0,37.0 kg,Intermediate,Dairy,44.15
708,8/3/2023,189,10,23.1 °C,63.68%,Thursday,0,38.5 kg,Intermediate,Meat,39.59
285,8/2/2023,436,13,18.9 °C,68.68%,Wednesday,0,8.3 kg,Unknown,Meat,44.12
150,7/31/2023,134,14,20.1 °C,61.84%,Monday,0,18.9 kg,Unknown,Meat,33.68
539,7/30/2023,341,9,24.1 °C,44.35%,Sunday,0,36.8 kg,Expert,Meat,47.53
885,7/29/2023,352,6,28.1 °C,89.41%,Saturday,0,15.4 kg,Unknown,Meat,33.07
912,7/28/2023,485,10,31.2 °C,64.93%,Friday,1,37.5 kg,Intermediate,Meat,66.11
370,7/27/2023,401,15,26.4 °C,70.30%,Thursday,0,44.4 kg,Beginner,Meat,54.43
745,7/26/2023,194,9,14.3 °C,33.58%,Wednesday,0,38.0 kg,Intermediate,Vegetables,42.91
24,7/25/2023,111,11,15.5 °C,58.40%,Tuesday,0,38.9 kg,Beginner,Vegetables,201.33
647,7/24/2023,496,6,15.8 °C,66.20%,Monday,0,42.0 kg,Expert,Grains,62.71
97,7/23/2023,384,17,15.7 °C,86.24%,Sunday,0,17.7 kg,Expert,Dairy,42.93
302,7/22/2023,143,17,25.8 °C,72.61%,Saturday,0,28.1 kg,Intermediate,Meat,32.83
1020,7/21/2023,142,14,25.5 °C,83.97%,Friday,0,29.9 kg,Intermediate,Meat,35.22
981,7/20/2023,429,14,27.3 °C,39.14%,Thursday,0,9.7 kg,Intermediate,Grains,36.81
881,7/18/2023,164,18,16.6 °C,47.47%,Tuesday,1,26.5 kg,Expert,Meat,38.15
1022,7/17/2023,422,15,29.6 °C,66.37%,Monday,0,30.7 kg,Intermediate,Vegetables,45.66
986,7/16/2023,367,10,11.9 °C,79.79%,Sunday,1,21.9 kg,Intermediate,Grains,46.74
303,7/15/2023,200,10,14.3 °C,62.82%,Saturday,0,5.1 kg,Beginner,Dairy,17.93
587,7/14/2023,278,13,20.8 °C,70.53%,Friday,0,16.7 kg,Intermediate,Vegetables,32.15
497,7/13/2023,132,11,17.4 °C,82.76%,Thursday,0,43.1 kg,Unknown,Vegetables,43.5
69,7/12/2023,479,13,25.5 °C,62.90%,Wednesday,0,19.0 kg,Intermediate,Grains,47.85
861,7/11/2023,262,17,28.9 °C,69.78%,Tuesday,0,38.6 kg,Expert,Dairy,48.86
973,7/10/2023,277,6,22.1 °C,64.09%,Monday,0,34.7 kg,Intermediate,Meat,44.34
210,7/9/2023,495,12,15.3 °C,64.24%,Sunday,0,46.9 kg,Unknown,Meat,60.22
888,7/8/2023,251,13,14.8 °C,68.51%,Saturday,0,7.1 kg,Intermediate,Vegetables,22.82
10,7/7/2023,439,18,24.1 °C,43.40%,Friday,0,17.5 kg,Expert,Dairy,44.28
36,7/6/2023,259,5,19.7 °C,74.34%,Thursday,0,11.2 kg,Intermediate,Grains,35.73
757,7/5/2023,483,7,19.1 °C,50.51%,Wednesday,0,35.3 kg,Unknown,Meat,52.26
385,7/3/2023,346,5,10.4 °C,56.13%,Monday,1,45.3 kg,Unknown,Vegetables,49.26
168,7/2/2023,435,11,10.0 °C,40.90%,Sunday,0,41.8 kg,Intermediate,Meat,49.07
905,7/1/2023,379,18,31.3 °C,52.06%,Saturday,0,23.5 kg,Intermediate,Meat,37.3
341,6/30/2023,115,15,16.9 °C,52.95%,Friday,0,26.1 kg,Expert,Meat,29.99
545,6/29/2023,103,12,31.9 °C,34.58%,Thursday,0,28.9 kg,Unknown,Dairy,29.57
304,6/27/2023,356,14,24.9 °C,81.43%,Tuesday,0,25.3 kg,Expert,Meat,42.55
872,6/25/2023,246,12,29.4 °C,43.19%,Sunday,0,22.9 kg,Expert,Meat,37.14
206,6/24/2023,349,16,12.0 °C,46.04%,Saturday,0,7.8 kg,Expert,Grains,35.79
501,6/23/2023,493,10,15.8 °C,57.30%,Friday,0,23.7 kg,Beginner,Vegetables,55.16
156,6/21/2023,279,8,22.0 °C,53.86%,Wednesday,0,6.5 kg,Expert,Meat,17.85
447,6/20/2023,389,7,13.0 °C,32.50%,Tuesday,0,25.8 kg,Intermediate,Meat,48.93
317,6/19/2023,199,16,26.7 °C,82.66%,Monday,0,12.5 kg,Unknown,Dairy,22.03
335,6/18/2023,424,9,30.6 °C,73.49%,Sunday,0,12.7 kg,Intermediate,Dairy,36.68
351,6/17/2023,345,6,33.8 °C,46.00%,Saturday,0,28.7 kg,Intermediate,Dairy,52.12
146,6/16/2023,109,13,17.9 °C,84.36%,Friday,0,16.5 kg,Intermediate,Vegetables,29.95
237,6/15/2023,349,18,30.7 °C,49.81%,Thursday,0,7.5 kg,Expert,Meat,34.6
170,6/14/2023,122,10,32.5 °C,74.17%,Wednesday,0,15.0 kg,Unknown,Vegetables,23.33
159,6/13/2023,456,9,13.5 °C,31.89%,Tuesday,0,46.0 kg,Unknown,Vegetables,58.5
452,6/12/2023,321,9,25.2 °C,86.93%,Monday,1,49.8 kg,Intermediate,Meat,60.55
270,6/11/2023,353,8,17.8 °C,72.56%,Sunday,0,31.2 kg,Expert,Vegetables,39.05
300,6/10/2023,388,16,22.0 °C,80.30%,Saturday,0,49.0 kg,Intermediate,Meat,55.6
870,6/9/2023,199,11,24.4 °C,84.66%,Friday,0,11.0 kg,Intermediate,Meat,29.08
376,6/8/2023,138,11,33.3 °C,44.51%,Thursday,0,43.9 kg,Intermediate,Meat,51.64
94,6/7/2023,440,7,24.3 °C,71.28%,Wednesday,0,33.3 kg,Intermediate,Dairy,50.21
559,6/6/2023,317,6,33.9 °C,35.99%,Tuesday,0,36.3 kg,Intermediate,Grains,46.14
939,6/5/2023,499,19,15.6 °C,62.63%,Monday,0,15.5 kg,Intermediate,Meat,47.99
342,6/4/2023,303,14,13.8 °C,76.92%,Sunday,0,43.8 kg,Beginner,Meat,50.96
666,6/2/2023,193,8,18.1 °C,70.01%,Friday,0,8.2 kg,Unknown,Dairy,31.06
394,6/1/2023,146,9,30.5 °C,32.58%,Thursday,1,19.7 kg,Expert,Vegetables,35.64
678,5/31/2023,168,19,15.3 °C,35.12%,Wednesday,0,18.8 kg,Unknown,Vegetables,35.33
590,5/28/2023,284,6,23.3 °C,70.93%,Sunday,0,18.7 kg,Beginner,Vegetables,35.65
674,5/27/2023,185,16,26.9 °C,33.13%,Saturday,0,11.4 kg,Intermediate,Vegetables,23.26
1029,5/26/2023,243,17,25.7 °C,88.48%,Friday,0,46.5 kg,Expert,Meat,54.54
814,5/25/2023,253,8,23.5 °C,74.23%,Thursday,0,36.8 kg,Intermediate,Meat,51.02
993,5/24/2023,175,7,19.9 °C,37.54%,Wednesday,0,26.1 kg,Expert,Meat,33.93
392,5/23/2023,346,17,22.5 °C,85.85%,Tuesday,1,23.1 kg,Intermediate,Meat,56.66
109,5/22/2023,448,7,19.8 °C,53.68%,Monday,1,47.0 kg,Beginner,Dairy,61.5
850,5/21/2023,377,9,24.2 °C,32.16%,Sunday,0,47.0 kg,Intermediate,Grains,49.48
1017,5/20/2023,168,11,24.4 °C,75.24%,Saturday,0,49.2 kg,Intermediate,Meat,46.99
705,5/19/2023,291,5,29.7 °C,77.77%,Friday,0,40.7 kg,Expert,Meat,48.43
914,5/18/2023,288,11,14.0 °C,68.86%,Thursday,0,26.5 kg,Expert,Grains,48.45
384,5/17/2023,371,14,31.8 °C,73.83%,Wednesday,0,18.9 kg,Intermediate,Meat,39.74
528,5/16/2023,484,11,33.6 °C,82.19%,Tuesday,0,31.0 kg,Unknown,Vegetables,53.38
410,5/15/2023,472,6,17.0 °C,52.27%,Monday,0,23.1 kg,Expert,Meat,47.26
932,5/14/2023,336,11,30.6 °C,73.18%,Sunday,0,33.6 kg,Intermediate,Meat,45.42
62,5/13/2023,188,19,22.7 °C,54.95%,Saturday,0,35.5 kg,Unknown,Vegetables,42.65
818,5/12/2023,147,18,16.0 °C,63.12%,Friday,0,41.9 kg,Intermediate,Meat,34.49
165,5/11/2023,217,9,18.7 °C,41.16%,Thursday,0,13.8 kg,Beginner,Vegetables,19.26
369,5/10/2023,225,10,19.5 °C,81.54%,Wednesday,0,9.0 kg,Unknown,Grains,14.93
388,5/9/2023,195,9,18.5 °C,30.17%,Tuesday,0,14.8 kg,Intermediate,Meat,18.28
947,5/8/2023,389,8,15.7 °C,76.25%,Monday,0,48.2 kg,Expert,Dairy,43.53
32,5/7/2023,338,8,12.9 °C,68.07%,Sunday,0,43.7 kg,Intermediate,Grains,52.32
320,5/6/2023,100,15,11.6 °C,36.66%,Saturday,1,18.8 kg,Intermediate,Meat,43.28
924,5/5/2023,221,18,14.0 °C,58.56%,Friday,0,33.7 kg,Unknown,Meat,39.88
759,5/4/2023,157,12,22.7 °C,81.95%,Thursday,0,33.1 kg,Intermediate,Meat,43.1
586,5/3/2023,228,18,25.2 °C,53.11%,Wednesday,0,34.1 kg,Beginner,Vegetables,34.71
121,5/2/2023,495,12,31.6 °C,59.91%,Tuesday,0,8.7 kg,Intermediate,Grains,39.03
1015,4/30/2023,226,6,16.4 °C,89.97%,Sunday,0,49.4 kg,Expert,Meat,46.88
17,4/29/2023,378,12,12.3 °C,68.06%,Saturday,0,41.2 kg,Unknown,Meat,51.06
471,4/28/2023,417,19,26.8 °C,58.52%,Friday,0,40.2 kg,Unknown,Meat,61.54
212,4/27/2023,216,16,16.1 °C,46.14%,Thursday,0,18.0 kg,Unknown,Grains,38.76
681,4/26/2023,328,5,29.2 °C,86.64%,Wednesday,1,44.2 kg,Unknown,Grains,57.07
353,4/24/2023,157,7,10.5 °C,37.78%,Monday,1,15.6 kg,Beginner,Grains,29.63
223,4/23/2023,191,9,34.4 °C,46.71%,Sunday,1,35.7 kg,Expert,Grains,55.45
977,4/22/2023,374,19,13.0 °C,40.97%,Saturday,0,8.8 kg,Expert,Meat,31.41
13,4/21/2023,418,13,19.6 °C,82.53%,Friday,0,25.0 kg,Intermediate,Vegetables,44.94
1030,4/20/2023,219,10,21.9 °C,45.25%,Thursday,0,5.2 kg,Intermediate,Meat,28.3
595,4/19/2023,244,12,34.5 °C,38.35%,Wednesday,0,13.0 kg,Intermediate,Grains,28.01
848,4/18/2023,246,17,17.5 °C,70.55%,Tuesday,0,7.9 kg,Intermediate,Meat,22.11
935,4/17/2023,257,19,10.0 °C,80.65%,Monday,0,18.8 kg,Expert,Grains,28.12
624,4/16/2023,205,15,30.6 °C,85.81%,Sunday,0,16.0 kg,Unknown,Dairy,27.96
696,4/15/2023,223,11,20.6 °C,63.88%,Saturday,0,15.4 kg,Unknown,Vegetables,24.95
474,4/14/2023,469,12,17.4 °C,32.54%,Friday,0,35.1 kg,Unknown,Meat,67.15
99,4/13/2023,368,7,14.3 °C,36.96%,Thursday,0,7.4 kg,Intermediate,Meat,11.18
1046,4/12/2023,243,11,28.9 °C,70.51%,Wednesday,0,19.8 kg,Intermediate,Meat,29.63
227,4/10/2023,410,5,34.0 °C,52.64%,Monday,0,9.4 kg,Intermediate,Dairy,27.07
769,4/9/2023,454,12,12.2 °C,55.34%,Sunday,0,46.0 kg,Beginner,Dairy,58.63
220,4/8/2023,146,17,24.5 °C,86.58%,Saturday,0,17.3 kg,Beginner,Vegetables,30.28
964,4/7/2023,449,11,18.3 °C,84.43%,Friday,0,40.3 kg,Expert,Vegetables,55.04
887,4/6/2023,471,6,26.6 °C,64.31%,Thursday,1,44.2 kg,Expert,Grains,64.04
1035,4/5/2023,464,16,34.9 °C,81.99%,Wednesday,0,46.7 kg,Intermediate,Dairy,58.58
47,4/4/2023,361,11,19.1 °C,63.90%,Tuesday,0,29.6 kg,Intermediate,Meat,38.67
79,4/3/2023,295,11,19.5 °C,37.80%,Monday,0,26.9 kg,Expert,Meat,38.94
520,4/2/2023,202,5,11.3 °C,79.60%,Sunday,0,32.0 kg,Intermediate,Dairy,33.61
965,4/1/2023,104,16,14.8 °C,85.85%,Saturday,0,8.7 kg,Intermediate,Vegetables,23.12
995,3/31/2023,207,6,21.4 °C,34.96%,Friday,1,41.6 kg,Intermediate,Vegetables,56.54
318,3/30/2023,159,18,15.8 °C,86.43%,Thursday,0,17.0 kg,Intermediate,Dairy,24.16
740,3/29/2023,152,7,27.0 °C,50.42%,Wednesday,0,45.7 kg,Intermediate,Vegetables,42.12
103,3/28/2023,363,14,24.8 °C,58.02%,Tuesday,0,40.5 kg,Intermediate,Vegetables,47.26
253,3/27/2023,200,14,16.8 °C,65.00%,Monday,0,6.2 kg,Expert,Meat,22.09
383,3/25/2023,370,11,11.8 °C,65.61%,Saturday,0,34.6 kg,Unknown,Meat,40.17
334,3/24/2023,425,11,26.7 °C,72.90%,Friday,1,11.4 kg,Expert,Vegetables,46.67
582,3/23/2023,269,17,30.8 °C,76.98%,Thursday,0,39.4 kg,Unknown,Meat,50.15
163,3/22/2023,279,12,21.1 °C,41.34%,Wednesday,0,19.6 kg,Expert,Grains,40.35
610,3/20/2023,441,8,18.6 °C,54.15%,Monday,0,42.1 kg,Beginner,Grains,58.34
5,3/19/2023,157,19,19.2 °C,46.29%,Sunday,0,41.5 kg,Beginner,Meat,48.62
817,3/18/2023,413,7,20.0 °C,73.30%,Saturday,0,46.5 kg,Beginner,Meat,59.76
281,3/17/2023,249,10,24.9 °C,79.43%,Friday,0,28.6 kg,Beginner,Meat,32.19
301,3/16/2023,224,18,26.1 °C,82.92%,Thursday,0,5.3 kg,Beginner,Grains,18.67
787,3/15/2023,289,6,16.6 °C,39.52%,Wednesday,1,22.9 kg,Unknown,Meat,55.4
688,3/14/2023,162,5,29.3 °C,54.09%,Tuesday,1,33.6 kg,Intermediate,Meat,52.62
244,3/13/2023,285,16,32.6 °C,73.24%,Monday,0,19.1 kg,Beginner,Meat,42.92
476,3/12/2023,252,10,18.4 °C,85.01%,Sunday,0,14.3 kg,Expert,Meat,20.06
577,3/11/2023,150,6,25.1 °C,37.20%,Saturday,0,11.6 kg,Expert,Meat,23.31
439,3/10/2023,441,6,30.5 °C,63.80%,Friday,0,21.5 kg,Intermediate,Dairy,35.61
213,3/9/2023,314,19,18.5 °C,47.40%,Thursday,0,37.7 kg,Expert,Dairy,47.78
566,3/8/2023,387,7,10.4 °C,48.19%,Wednesday,0,33.4 kg,Unknown,Vegetables,43.39
350,3/7/2023,421,18,0.2 °C,44.08%,Tuesday,0,24.3 kg,Intermediate,Meat,33.14
279,3/6/2023,453,5,43.5 °C,57.79%,Monday,1,48.4 kg,Intermediate,Vegetables,71.75
994,3/4/2023,242,7,26.9 °C,68.23%,Saturday,0,7.5 kg,Unknown,Grains,20.19
544,3/3/2023,470,12,24.9 °C,63.28%,Friday,0,19.8 kg,Beginner,Grains,39.26
7,3/2/2023,241,18,16.9 °C,79.29%,Thursday,0,11.8 kg,Intermediate,Dairy,27.39
313,3/1/2023,499,17,13.5 °C,57.24%,Wednesday,0,11.8 kg,Intermediate,Meat,33.49
464,2/27/2023,420,5,14.3 °C,73.19%,Monday,0,21.8 kg,Beginner,Meat,40.89
723,2/24/2023,135,18,15.2 °C,54.97%,Friday,0,41.2 kg,Expert,Dairy,40.4
531,2/22/2023,490,12,17.8 °C,32.02%,Wednesday,0,46.9 kg,Intermediate,Dairy,66.91
542,2/21/2023,415,15,14.5 °C,43.16%,Tuesday,0,35.6 kg,Intermediate,Meat,47.94
752,2/19/2023,405,11,21.8 °C,80.53%,Sunday,0,6.8 kg,Intermediate,Meat,40.36
84,2/18/2023,454,18,31.7 °C,65.00%,Saturday,0,46.0 kg,Unknown,Meat,64.69
525,2/17/2023,125,17,15.9 °C,31.32%,Friday,0,21.1 kg,Expert,Grains,19.29
338,2/16/2023,346,5,13.8 °C,45.97%,Thursday,0,23.7 kg,Beginner,Grains,38.68
286,2/14/2023,138,5,13.7 °C,47.55%,Tuesday,0,6.1 kg,Intermediate,Grains,69.86
632,2/12/2023,345,17,30.2 °C,81.80%,Sunday,0,5.0 kg,Intermediate,Dairy,33.83
913,2/11/2023,398,19,26.8 °C,42.67%,Saturday,0,11.2 kg,Intermediate,Vegetables,39.33
345,2/9/2023,203,10,28.3 °C,72.61%,Thursday,0,19.4 kg,Unknown,Grains,33.74
731,2/8/2023,372,10,17.6 °C,38.71%,Wednesday,0,33.7 kg,Beginner,Grains,54.65
797,2/7/2023,485,8,16.4 °C,58.70%,Tuesday,0,11.0 kg,Beginner,Grains,35.69
975,2/6/2023,254,5,23.9 °C,44.53%,Monday,0,14.4 kg,Intermediate,Dairy,22.75
783,2/5/2023,226,13,29.3 °C,80.52%,Sunday,1,38.1 kg,Intermediate,Meat,56.37
625,2/4/2023,250,8,32.7 °C,36.78%,Saturday,0,5.9 kg,Intermediate,Dairy,24.92
54,2/3/2023,441,5,19.0 °C,70.90%,Friday,0,41.7 kg,Intermediate,Meat,62.71
895,2/2/2023,387,11,14.4 °C,82.14%,Thursday,0,44.9 kg,Beginner,Vegetables,52.41
538,2/1/2023,213,5,26.2 °C,36.06%,Wednesday,0,41.4 kg,Beginner,Vegetables,36.06
